COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
27,294,BEER LIMIT,12/12O,2,9990180
26,307,HEINEKEN KINGSIZE CA,259 OZ,1,9490410
27,710,BUDWEISER BEER,24/12O,1,9402300
27,711,BUDWEISER DRY BEER,24/12O,1,9402650
27,712,BUDWEISER LIGHT BEER,24/12O,1,9402600
27,720,COORS BEER,24/12O,1,9410150
27,721,COORS EXTRA GOLD BEE,24/12O,1,9410230
27,723,KEYSTONE REGULAR BEE,24/12O,1,9428700
27,731,MILLER HIGH LIFE PAR,30/12O,1,9451440
27,732,MILLER LITE BEER,24/12O,1,9451200
27,735,MILWAUKEE'S BEST BEE,24/12O,1,9451920
27,740,OLD MILWAUKEE BEER,24/12O,1,9406750
27,750,OLD STYLE BEER,24/12O,1,9408200
27,757,OLD STYLE 30PK CANS,30/12O,1,9407350
27,772,STROHS LIGHT BEER,30/12O,1,9405050
28,245006405,TOSELLI NON-ALCOHOLI,750 ML,12,9709680
26,272500010,MURPHYS IRSH DRAUGHT,16.9 O,12,9440800
26,272500017,MURPHYS IRSH AMBER (,6/12 O,4,9440810
27,943922532,FULLERS EXTRA BEST S,6/12 O,4,9446160
26,948700005,AMSTEL LIGHT BIER,21.6 O,12,9401030
26,1035700155,O.B. KOREAN IMPORTED,6/12 O,4,9412650
27,1497450009,WOODCHUCK DRAFT CIDE,6/12 O,4,9490600
27,1497460009,WOODCHUCK DARK & DRY,6/12 O,4,9490610
26,1604110011,GRANTS SCOTTISH ALE,6/12 O,4,9417140
27,1820000008,BUDWEISER BEER N.R.B,32 OZ,12,9403000
27,1820000016,BUDWEISER BEER,6/12 O,4,9402000
27,1820000018,BUDWEISER BEER,6/16 O,4,9402100
27,1820000019,MICHELOB REGULAR BEE,6/12 O,4,9403800
27,1820000031,BUSCH LIGHT BEER,6/12OZ,4,9403550
27,1820000048,MICHELOB LIGHT BEER,6/12OZ,4,9404000
27,1820000051,BUSCH BEER,6/12 O,4,9403500
27,1820000106,BUDWEISER LIGHT BEER,6/12 O,4,9402400
27,1820000117,BUDWEISER LIGHT BEER,32 OZ,12,9403400
27,1820000126,BUDWEISER BEER N.R.B,40 OZ,12,9403050
28,1820000157,O'DOUL'S NON-ALCH CA,6/12 O,4,9428970
27,1820000182,MICHELOB DRY CANS,6/12 O,4,9404250
27,1820000188,BUSCH LIGHT BEER,6/12 O,4,9403550
27,1820000202,BUDWEISER DRY BEER,6/12 O,4,9402450
